Subject,Course Number,Course Name
BTW,BTW272,Report Writing
TAM,TAM461,Cellular Biomechanics
REL,REL562,Religious Diversity
CEE,CEE498,Special Topics
RST,RST218,Entrepreneurship
CPSC,CPSC416,"Native Plants, Pollinators, & Food Ecosystems"
CI,CI453,Professional Learning Community I
EPOL,EPOL390,Undergraduate Advanced Seminar
THEA,THEA422,Structures for the Stage I
FIN,FIN418,Financial Modeling
MATH,MATH114,Trigonometry
ASRM,ASRM195,Foundations of Data Management
CI,CI448,Teaching Elementary Social Studies
ME,ME485,MEMS Devices & Systems
EPS,EPS575,Cultural Studies and Critical Interpretation
BADM,BADM327,Marketing to Business and Govt
CEE,CEE548,Scientific Writing in CEE
ACE,ACE100,Introduction to Applied Microeconomics
LING,LING404,Tutorials in Non-Western Lang
FSHN,FSHN472,Applied Food Microbiology
IE,IE527,MSFE Professional Development
MSE,MSE580,Diffraction Physics of Matls
RUSS,RUSS461,Russia and the Other
FSHN,FSHN251,Nutritional Physiology II
TSM,TSM464,Engine and Tractor Power
ME,ME330,Engineering Materials
UP,UP160,"Race, Social Justice, and Cities"
ABE,ABE497,Independent Study
ECE,ECE480,Magnetic Resonance Imaging
IB,IB531,Emerging Infectious Diseases
MUSC,MUSC129,Tuba
PS,PS152,The New Middle East
CWL,CWL320,Responses to the Holocaust
ANTH,ANTH497,Individual Field Data Analysis
ECON,ECON399,Undergraduate Open Seminar
ESE,ESE143,History of Life
ENGL,ENGL251,The Twentieth-Century American Novel
HIST,HIST350,19thC Romanticism & Politics
EPSY,EPSY403,Res Methods in Learning Scienc
ACE,ACE564,Applied Regression Models II
GER,GER385,Politics of the European Union
LAW,LAW693,Clinical Training
SOCW,SOCW200,Introduction to Social Work
ANTH,ANTH441,Human Genetics
CPSC,CPSC199,Special Topics
NUTR,NUTR524,Nonruminant Nutrition Concepts
MUS,MUS585,Graduate Level Cello
MUS,MUS260,Oratorio Society
TSM,TSM103,Agricultural Machinery and Technology
MUSC,MUSC436,Advanced Jazz Double Bass
ANSC,ANSC407,Animal Shelter Management
MDIA,MDIA524,Dev Psycholinguistics
ANTH,ANTH248,Introduction to Engaged and Public Anthropology
SPED,SPED593,Concepts and Issues in Special Education II
FR,FR240,Constr Afr and Carib Identity
PSYC,PSYC515,Neurotoxicology
CHEM,CHEM420,Instrumental Characterization
FIN,FIN464,Applied Financial Analysis
ENGL,ENGL378,Fairy Tales & Gender Formation
ENGL,ENGL247,The British Novel
CLE,CLE733,Neurosurgery II
IS,IS206,Introduction to Database Concepts & Applications
MUS,MUS447,Advanced Music Ed Technology
RUSS,RUSS402,Fourth Year Russian II
EALC,EALC230,Popular Cultures of Contemporary East Asia
EPOL,EPOL473,Facilitation Skills
REL,REL439,Catholicism in the United States
GWS,GWS421,Sex Role Theory in Counseling
MDIA,MDIA380,21st Century Documentaries
CS,CS583,Approximation Algorithms
BADM,BADM529,Marketing Research
CHEM,CHEM572,Enzyme Reaction Mechanisms
NPRE,NPRE470,Fuel Cells & Hydrogen Sources
INFO,INFO325,Social Media and Global Change
JOUR,JOUR440,Advanced Documentary Storytelling & Production
TE,TE598,Special Topics IV
VCM,VCM635,Advanced Soft Tissue Surgery
MSE,MSE183,Freshman Materials Laboratory
BIOE,BIOE467,Biophotonics
REL,REL418,Afterlife in Early Judaism
EDPR,EDPR410,Early Childhood Education Early Field Experience
HIST,HIST436,Jewish Life-Writing
SCAN,SCAN252,Viking Sagas in Translation
ASTR,ASTR502,Astrophysical Dynamics
ENGL,ENGL434,Victorian Poetry & Prose
HORT,HORT442,Plant Nutrition
ME,ME498,Special Topics
JAPN,JAPN306,Advanced Japanese II
HIST,HIST164,The Automobile
GSD,GSD199,Individual Study
HIST,HIST327,Tokyo: Then and Now
ANTH,ANTH351,Language and Race
BADM,BADM548,Corp & Comp Strategy Research
MUSC,MUSC442,Jazz Strings
ECE,ECE538,2D Material Electronics and Photonics
PHYS,PHYS329,Atmospheric Dynamics I
SPAN,SPAN320,Spanish Cultural Studies II
IS,IS525,Government Information
GEOG,GEOG468,Biological Modeling
BADM,BADM326,Pricing Strategy
LING,LING301,Elements of Syntax
THEA,THEA448,Costume Crafts
UP,UP479,Community Engagement in Planning
PORT,PORT510,Seminar Brazilian Literature
SLAV,SLAV117,Russ & E Euro Science Fiction
BSE,BSE703,Medical Informatics
CS,CS579,Computational Complexity
KIN,KIN352,Bioenergetics of Movement
CEE,CEE545,Aerosol Sampling and Analysis
BIOE,BIOE501,Seminar Discussion
GER,GER510,Introduction to Graduate Study
CHBE,CHBE494,Special Topics
MACS,MACS262,Survey of World Cinema II
EIL,EIL422,Engl Grammar for ESL Teachers
IB,IB443,Evolutionary Ecology
SHS,SHS477,Beginning Practicum in Speech-Language Pathology
BIOE,BIOE504,Analytical Methods in Bioeng
CWL,CWL578,Seminar 20thC French Lit
FSHN,FSHN514,Advanced Food Chemistry
CS,CS240,Introduction to Computer Systems
ACCY,ACCY553,Selected Topics in Fed Tax
ACES,ACES293,International Internship
PSYC,PSYC308,Psychology of Religion and Spirituality
ARCH,ARCH522,"Advanced Research in Environment, Architecture & Global Health"
ARCH,ARCH598,Specialized Architectural Practice
AAS,AAS561,Race and Cultural Critique
ECE,ECE527,System-On-Chip Design
HDFS,HDFS444,"LGBT Indiv, Fam & Community"
HIST,HIST273,Illinois History
IS,IS495,Topics in Organization & Representation
TAM,TAM424,Mechanics of Structural Metals
CI,CI486,Teaching Methods for Computer Science
RHET,RHET199,Undergraduate Open Seminar
ARTH,ARTH218,Ancient Greek Sanctuaries
LA,LA100,Landscape Architecture at Illinois
AGED,AGED410,Grad Early Field Experience
LER,LER330,Comparative Labor Relations
CPSC,CPSC294,On-Campus Crop Sci Internship
HORT,HORT434,Designing Urban Agriculture
AGED,AGED295,Independent Study or Research
SOCW,SOCW417,Dementia Care for Older Adults
CMN,CMN361,Storytelling as Oral Communication
CW,CW204,Intermediate Narrative Writing
ME,ME531,Inelastic Design Methods
AFST,AFST414,Intermediate Lingala II
CI,CI260,Serving Children in Schools and the Community
CHBE,CHBE452,Chemical Kinetics & Catalysis
MSE,MSE485,Atomic Scale Simulations
CS,CS507,Topics in Cryptography
LER,LER591,Employment Relations Systems
LLS,LLS472,"Border Latina, Latino Cultures"
NPRE,NPRE457,Safety Anlys Nucl Reactor Syst
THEA,THEA496,Professional Exploration
GEOL,GEOL506,Landscape Evolution Models
MUS,MUS439,Differentiating Music Instruction
CPSC,CPSC393,Crop Sciences Internship
AFST,AFST412,Lang in African Culture & Soc
CHEM,CHEM312,Inorganic Chemistry
CMN,CMN595,Special Problems
HIST,HIST593,Approaches to History
THEA,THEA425,Stage Drafting
CWL,CWL204,US Border Literatures and Cultures
AFST,AFST467,Kinship-Culture-Power-Africa
SHS,SHS470,Neural Bases Spch Lang
ACCY,ACCY211,Understanding Financial Statements
ECE,ECE199,Undergraduate Open Seminar
THEA,THEA275,Relationships in Acting II
EALC,EALC214,Art in China
SHS,SHS501,Exper Phon II Spch Acous Perc
AFRO,AFRO381,Black Women and Film
PHIL,PHIL307,Elmnts Semantics & Pragmatics
CW,CW460,Intro to Literary Editing
UP,UP598,Master's Project
CW,CW106,Introductory Poetry Writing
TE,TE401,Developing Breakthrough Projects
AGED,AGED350,Early Field Experience
EOL,EOL546,Public School Finance
IE,IE497,Independent Study
HIST,HIST504,Research Seminar: Science
HDFS,HDFS501,Human Development Theories
MATH,MATH502,Commutative Algebra
ADV,ADV587,Graduate Seminar I
CWL,CWL410,Modern African Fiction
THEA,THEA204,Introduction to Contemporary Performance Practice
AFST,AFST490,Independent Study
GEOL,GEOL562,Isotope Geology
TAM,TAM499,Senior Thesis
FSHN,FSHN101,The Science of Food and How it Relates to You
AFST,AFST111,History of Africa to 1800
GGIS,GGIS287,Environment and Society
ADV,ADV594,Advanced Topics in Advertising
FIN,FIN529,Applied Financial Analysis
GGIS,GGIS392,Geography & GIS Internship
MDVL,MDVL255,British Isles to 1688
IS,IS407,Introduction to Data Science
IS,IS549,Practicum
FIN,FIN526,Enterprise Risk Management
CHEM,CHEM512,Advanced Inorganic Chemistry
ANTH,ANTH560,Anthropology and Law
ARTS,ARTS451,Advanced Studio II
UP,UP473,Housing & Urban Policy
FR,FR311,Narrative Literature
MUSC,MUSC458,Electric Strings Ensemble
FSHN,FSHN442,Hospitality Management & Leadership Skills
HDFS,HDFS533,Community In American Society
IE,IE411,Optimization of Large Systems
MUS,MUS508,Grad. Jazz Improv. II
FSHN,FSHN459,Nutrition Focused Physical Assessment
BIOE,BIOE120,Introduction to Bioengineering
CMN,CMN354,Freedom of Speech
NUTR,NUTR591,Animal Sciences Seminar
CI,CI517,Bilingual and English as a Second Language Assessment
VCM,VCM681,Advanced Equine Internal Medicine
BIOE,BIOE201,Conservation Principles Bioeng
ENGL,ENGL380,Topics in Writing Studies
HIST,HIST356,The Modern Balkans through Literature and Film
HIST,HIST510,Problems in African History
SCAN,SCAN490,Green Screen: Film and Nature
SPED,SPED448,Curriculum Development III
LAW,LAW303,Living the Law
ARTS,ARTS499,Special Topics in Studio Art
PHYS,PHYS221,Enrichment Mechanics
UKR,UKR199,Undergraduate Open Seminar
CHEM,CHEM571,Chemical Biology Laboratory
HIST,HIST376,Soc History Indus Am from 1918
IHLT,IHLT230,Leadership in Health
ANTH,ANTH399,Special Topics
EPS,EPS515,Philosophy and Educational Research
MATH,MATH574,Set Theory
HIST,HIST314,Material Culture
EPOL,EPOL595,Independent Study
UP,UP210,Environmental Economics
LAT,LAT599,Thesis Research
PS,PS280,Intro to Intl Relations
ENGL,ENGL102,Intro to Drama
SOCW,SOCW570,Childhood Obesity I
FR,FR324,Literature and the Other Arts
RHET,RHET105,Writing and Research
MUS,MUS524,Seminar in Works of Select Composer
AGED,AGED100,Intro to Ag & Leadership Ed
HIST,HIST598,Teaching of College History
IB,IB482,Insect Pest Management
ALEC,ALEC492,Digitizing Development – Teaching and Training Online
REES,REES200,Intro to Russia and Eurasia
MUS,MUS120,English Diction
NEUR,NEUR405,Cognitive Neuroscience
CW,CW502,Problems in Poetry Writing
ENGL,ENGL583,Topics Writ Pedagogy & Design
CMN,CMN450,Adv Topics in Public Discourse
GWS,GWS261,Gender in a Transnational Perspective
HDFS,HDFS598,Special Problems in HDFS
RUSS,RUSS191,Freshman Honors Tutorial
BADM,BADM330,Brand Management
MATH,MATH414,Mathematical Logic
IS,IS517,Methods of Data Science
SPAN,SPAN490,Advanced Readings in Spanish
FSHN,FSHN510,Topics in Nutrition Research
CLE,CLE779,Bariatric Surgery
DANC,DANC459,Dance Improvisation II
EDPR,EDPR433,Internship in Early Childhood Education
MDIA,MDIA320,Media Sales Management
IB,IB545,Fish and Wildlife Ecol Seminar
ETMA,ETMA371,Residential Housing Design
REL,REL234,Black Religious Imaginations
CEE,CEE406,Pavement Design I
CEE,CEE452,Hydraulic Analysis and Design
ARTH,ARTH112,Renaissance to Modern Art
FIN,FIN522,Cases in Financial Strategy
THEA,THEA126,Stagecraft
MUS,MUS133,Introduction to World Music
LLS,LLS246,Gender & Sexuality in Latina/o Literature
CMN,CMN423,Rhetorical Criticism
HDFS,HDFS426,Family Conflict Management
LA,LA505,Methods in Arch & LA History
EPS,EPS310,Race and Cultural Diversity
IB,IB368,Vertebrate Natural History
UP,UP317,Introduction to Urban Data Science
PS,PS306,Judicial Politics
EALC,EALC306,Japan Lit in Translation II
THEA,THEA430,Technical Direction I
NPRE,NPRE441,Radiation Protection
GRK,GRK411,Greek Prose Composition
HIST,HIST552,Research Seminar: Europe Since 1789
SHS,SHS554,Advanced Audiological Assess
PS,PS495,Senior Honors Seminar
BADM,BADM532,Sustainable Product Design & Enterprise Plan Development - I: Bottom-Up Immersion & Design
CHIN,CHIN241,Chinese Reading and Writing
MUS,MUS540,Graduate Wind Band Conducting
THEA,THEA372,Acting Studio I: Voice
HIST,HIST257,"Terrorism, Past and Present"
EURO,EURO325,Social Media and Global Change
SHS,SHS577,Advanced Practicum in Speech-Language Pathology
ME,ME460,Industrial Control Systems
AE,AE456,Global Nav Satellite Systems
SCAN,SCAN496,Special Topics in Scan Studies
PS,PS376,American Political Theory
MCB,MCB480,Eukaryotic Cell Signaling
CPSC,CPSC266,Data in Biology and Agriculture
MDVL,MDVL460,Medieval Latin
CHBE,CHBE458,Synthetic Nanomaterials
GEOL,GEOL565,Water Chemistry & Bioremediation
CPSC,CPSC212,Introduction to Plant Protection
CHEM,CHEM397,Individual Study Junior
MDIA,MDIA580,Advanced Interpretive Methods
TE,TE298,Special Topics I
ATMS,ATMS311,Environmental Issues Today
GGIS,GGIS587,Qualitative Research Methods
ENGL,ENGL266,Grimm's Fairy Tales in Context
EPSY,EPSY199,Undergraduate Open Seminar
HDFS,HDFS101,Issues & Careers in HDFS
UP,UP101,Introduction to City Planning
TAM,TAM201,Mechanics for Technol & Mgmt
MUSC,MUSC524,Graduate Level Saxophone
MATH,MATH413,Intro to Combinatorics
MUSC,MUSC523,Graduate Level Clarinet
GEOL,GEOL511,Advanced Structural Geology
MUSE,MUSE330,Learning in Museums
LAST,LAST308,The Caribbean Since 1492: From Columbus to Castro
MUS,MUS172,Grp Instr Pno for Mus Major I
CLE,CLE665,Pediatrics Clerkship
ANSC,ANSC406,Zoo Animal Conservation Sci
ACE,ACE231,Food and Agribusiness Mgt
CHLH,CHLH126,Campus Acquaintance Rape Education
CMN,CMN450,Topics in Public Communication
CEE,CEE483,Soil Mechanics and Behavior
ASTR,ASTR405,Planetary Systems
CS,CS414,Multimedia Systems
CI,CI444,Social Stud Early Childhood Ed
IHLT,IHLT498,Interdisciplinary Health Study Abroad
MDVL,MDVL522,Seminar in Medieval Art
FLTE,FLTE475,Learning to Teach World Language
HRD,HRD540,Learning on the Job
ESL,ESL525,Elements of Business Writing
FSHN,FSHN441,Inactive
ESE,ESE445,Earth Resources Sustainability
ANSC,ANSC543,Bioinformatics
EALC,EALC599,Thesis Research
ANTH,ANTH350,Cultures of Law
THEA,THEA477,Acting Studio IV: Movement
FIN,FIN321,Advanced Corporate Finance
VCM,VCM685,Advanced Diagnostic Imaging
AAS,AAS299,Begin Topics Asian Am Studies
ANSC,ANSC204,Intro Dairy Cattle Evaluation
PS,PS329,Immigration & Citizenship
REL,REL495,Topics in Asian Religions
FIN,FIN546,Real Estate Financial Markets
HORT,HORT295,Undergrad Research or Thesis
ANSC,ANSC231,Evolution of Sex
ARTD,ARTD599,Industrial Design Thesis
SOC,SOC274,"Health, Illness and Society"
CLCV,CLCV232,Ancient Greek Sanctuaries
ARCH,ARCH594,Special Problems in Building Performance
CHLH,CHLH330,Disability in American Society
AFRO,AFRO100,Intro to African American St
SAME,SAME208,Cultures & Literatures of South Asia
ARTH,ARTH501,Seminar in Chinese Art
ECE,ECE536,Integ Optics & Optoelectronics
CMN,CMN506,Health Informatics
CLE,CLE742,Plastic and Reconstructive Surgery
MUSE,MUSE200,Introduction to Museums
EPOL,EPOL596,Capstone Experience I & II
ECE,ECE482,Digital IC Design
CB,CB540,Wildlife Ecosystem Health
DANC,DANC104,Making Dances
ADV,ADV250,Advertising and Brand Strategy
PS,PS528,Models of Decision and Choice
SHS,SHS450,Intro Audiol & Hear Disorders
GER,GER572,Early Modern German Studies
GWS,GWS453,Sex and Science
RSOC,RSOC447,Environmental Sociology
RST,RST459,Heritage Management
ANTH,ANTH364,"Performing ""America"""
AAS,AAS328,Asian Americans & Inequalities
LEAD,LEAD480,Collaborative Leadership
CMN,CMN321,Strategies of Persuasion
LA,LA562,Social Construction of Space
CMN,CMN508,Successful Health Campaigns
GEOG,GEOG476,Applied GIS to Environ Studies
REL,REL350,South Asian Goddesses
LLS,LLS479,"Race, Medicine, and Society"
FIN,FIN221,Corporate Finance
UP,UP590,Professional Internship
GEOG,GEOG381,Environmental Perspectives
ABE,ABE152,Water in the Global Environment
CS,CS411,Database Systems
SLAV,SLAV277,Slavic Literature Survey
BADM,BADM313,Strategic Human Resource Management
ARTD,ARTD399,Internship in Design
VCM,VCM626,Shelter Medicine I
LING,LING413,Corpus Linguistics
EPS,EPS502,Education in the 20th Century
GWS,GWS315,"War, Memory, and Cinema"
PLPA,PLPA395,Undergrad Research or Thesis
STAT,STAT510,Mathematical Statistics I
CLCV,CLCV240,Gender & Sexuality in Greco-Roman Antiquity
IS,IS549,Economics of Information
PS,PS534,Modeling Heterogeneity
CEE,CEE580,Excavation and Support Systems
ARCH,ARCH232,Structural Fundamentals
EALC,EALC421,Soc-Econ Hist Modern China
CI,CI437,Educational Game Design
HRD,HRD402,Business Principles for Human Resource Development
IB,IB401,Introduction to Entomology
REL,REL132,Zen
THEA,THEA467,Contemporary Theatrical Forms
VM,VM642,Contemporary Issues in Vet Med
CEE,CEE511,Railway Terminal Design and Operations
HIST,HIST505,Research Seminar: Medicine
BSE,BSE642,Hematology & Oncology
CHLH,CHLH553,Health Finance
ANTH,ANTH420,Case Studies Global Heritage
PSYC,PSYC207,Psychology of Prejudice and Discrimination
ENVS,ENVS516,Reprod & Dev Toxicology
RST,RST130,Foundations of Sport Mgt
ESE,ESE333,Earth Materials and the Env
ARTF,ARTF199,Undergraduate Open Seminar
GER,GER553,Professional/Academic Writing
THEA,THEA429,Inactive
IB,IB199,Undergraduate Open Seminar
MUS,MUS581,Graduate Level Voice
LEAD,LEAD280,Training Needs Assessment
CEE,CEE330,Environmental Engineering
BADM,BADM328,Advanced Sales Strategies
ARTH,ARTH211,Design History Survey
PHIL,PHIL501,Seminar on the History of Philosophy
HIST,HIST483,"Race, Science, and Medicine"
MUS,MUS433,Music Interdisciplinary Curriculum
CMN,CMN507,Hlth Comm Orgs Profs & Policy
CSE,CSE298,Special Topics
CMN,CMN396,Special Topics in Comm
MATH,MATH225,Introductory Matrix Theory
MCB,MCB395,Special Topics in Human Physiology
EALC,EALC584,Theories in Second Language Acquisition
ADV,ADV400,Special Problems
BADM,BADM451,E-com Apps & Web-based Systems
CPSC,CPSC395,Undergrad Research or Thesis
PATH,PATH524,Biostatistics
IS,IS531,Foundations of Data Curation
PHYS,PHYS563,Phase Transitions
ARTS,ARTS381,Intermediate Sculpture
CHBE,CHBE510,Graduate CHBE Internship
ASRM,ASRM401,Actuarial Statistics I
ARCH,ARCH172,Drawing and Modeling
ARTH,ARTH249,American Visual Humor
GWS,GWS508,"Feminism, Gender and Sexuality"
ANTH,ANTH445,Research in Bioanthropology
PATH,PATH552,Diagnostic Cytology
WRIT,WRIT300,Issues in Tutoring Writing
EPSY,EPSY457,Teachers and Tech Integration
ENGL,ENGL458,Latina/o Performance
GWS,GWS512,Gender Relations & Intl Dev
CHEM,CHEM442,Physical Chemistry I
ENGL,ENGL275,Am Indian and Indigenous Film
CI,CI565,Topics Research and Writing
EALC,EALC276,Asian Film Genres
TAM,TAM541,Mathematical Methods I
CS,CS575,Methods of Combinatorics
EPOL,EPOL483,Learning Technologies
CMN,CMN413,Adv Small Group Communication
CHEM,CHEM237,Structure and Synthesis
HIST,HIST106,Modern Latin America
FIN,FIN526,Investment Banking
SHS,SHS121,American Sign Language I
CPSC,CPSC486,Plant Growth and Development
MDVL,MDVL222,Medieval Art
BADM,BADM453,Business Intelligence
TRST,TRST545,Writing for Translators
MATH,MATH562,Theory of Probability II
MUS,MUS563,Hist of Voc Ens and Chor Music
IE,IE434,Deep Learning: Mathematics and Applications
REL,REL415,Intro Readings of the Talmud
PSYC,PSYC573,Clin/Comm: History & Systems
PATH,PATH525,Statistics in Epidemiology
FIN,FIN500,Introduction to Finance
PSYC,PSYC332,Social Psych Methods Lab
PS,PS355,Democratization
UP,UP335,Cities and Immigrants
ALEC,ALEC490,Foundations of Adult Training and Development
CI,CI576,Assessment-Based Reading Instr
HEBR,HEBR405,Advanced Modern Hebrew I
REL,REL520,"Hindu Pilgrimage, Power & Place"
ASRM,ASRM555,Advanced Predictive Analytics
CHLH,CHLH314,Introduction to Aging
GER,GER101,Beginning German I
HIST,HIST440,Roman Republic to 44 B C
KIN,KIN459,Physical Activity & Aging
ATMS,ATMS526,Risk Analysis in the Geosciences
MUS,MUS181,Voice
MUS,MUS535,Philosophic Inquiry in Mus Ed
CPSC,CPSC501,Programming for Genomics
BIOE,BIOE479,Cancer Nanotechnology
SOCW,SOCW542,Program Evaluation
RST,RST520,Critical Issues Sport Mgt
CPSC,CPSC417,Water and Agriculture in the 21st Century
THEA,THEA492,Digital Rendering for Lighting
CHEM,CHEM570,Concepts in Chemical Biology
ECE,ECE448,Artificial Intelligence
CWL,CWL328,Special Topics German Studies
MATH,MATH540,Real Analysis
MUS,MUS558,Vocal Literature
ANTH,ANTH343,Behavior and Biology of Women
ECON,ECON422,International Macroeconomics
PS,PS304,The US Presidency
EPSY,EPSY555,Advanced Educational Technologies for Engagement and Interactive Learning
THEA,THEA413,Creative Drama for Children
NPRE,NPRE402,Nuclear Power Engineering
SOC,SOC278,Mapping Latina/o Inequalities
EALC,EALC132,Zen
UP,UP460,Transportation/Land Use Policy
EALC,EALC307,Classical Chinese Lit
CPSC,CPSC426,Weed Mgt in Agronomic Crops
CEE,CEE447,Atmospheric Chemistry
ASRM,ASRM490,Actuarial Research
ENGL,ENGL122,"Swords, Sorcery & Sex: The Middle Ages in Popular Culture"
RST,RST365,Civic Engagement in Wellness
ANTH,ANTH259,Latina/o Cultures
CI,CI582,Rdg and Wrtg Across the Curr
CWL,CWL255,Renaissance Lit and Culture
SHS,SHS551,Electrophys Indices Audition
SCAN,SCAN472,Kierkegaard and the Self
KIN,KIN401,Measure & Eval in Kinesiology
SCAN,SCAN386,Arctic Environmt & Society
ARCH,ARCH599,Thesis Research
CI,CI471,Principles and Practices to Foster Independence in Reading
BIOE,BIOE297,Individual Study
SHS,SHS112,Living-Learning ASL Part 2
UP,UP545,Economic Development Policy
ANSC,ANSC450,Comparative Immunobiology
GWS,GWS561,Race and Cultural Critique
PLPA,PLPA295,Undergrad Research or Thesis
ECE,ECE444,IC Device Theory & Fabrication
MUS,MUS580,Graduate Level Piano
ENGL,ENGL461,Advanced Topics in Literature and Culture
PSYC,PSYC204,Intro to Brain and Cognition
ENVS,ENVS514,Neurotoxicology
CS,CS199,Undergraduate Open Seminar in Computer Science
ANSC,ANSC453,Stem Cell Biology
STAT,STAT100,Statistics
GEOG,GEOG439,Health Applications of GIS
EPSY,EPSY515,Multicultural Counseling
REL,REL224,Chinese Thought and Culture
ANTH,ANTH387,Anthropology of Crime
ABE,ABE398,Special Topics
ENGL,ENGL213,Modernist Literature and Culture
ENGL,ENGL435,19th C British Fiction
CHLH,CHLH531,Childhood Obesity II
CPSC,CPSC112,Introduction to Crop Sciences
IS,IS416,Adaptive Minds and Computers
GEOG,GEOG222,Big Rivers of the World
SHS,SHS592,Prosem Spch & Hear Sci
TAM,TAM534,Non-Newtonian Fluid Mechanics & Rheology
THEA,THEA483,Modern Scandinavian Drama
EPS,EPS515,Philosophy and History of Educational Research
LLS,LLS201,US Racial & Ethnic Politics
ASTR,ASTR541,Physics of Compact Objects
AFST,AFST233,Context in International Interventions
ME,ME462,Advanced Computer Control
HIST,HIST361,Euro Thght & Soc Since 1789
LLS,LLS200,U.S. Race and Empire
DANC,DANC258,"Improvisation for Musicians, Actors, and Dancers"
MUSC,MUSC465,Men's Glee Club
HIST,HIST212,History of Eastern Africa
PS,PS200,Foundations of Pol Sci
PSYC,PSYC248,Learning and Memory
ECE,ECE414,Biomedical Instrumentation
LAW,LAW798,Seminars
GER,GER261,The Holocaust in Context
BIOE,BIOE483,Biomedical Computed Imaging Systems
HIST,HIST101,History Now!
MCB,MCB583,Laboratory Rotation III
IB,IB405,Evolution of Traits and Genomes
ANTH,ANTH557,Social Construction of Space
ENGL,ENGL268,The Holocaust in Context - ACP
ARCH,ARCH538,Integrative Design of Buildings
ENGL,ENGL272,Minority Images in Amer Film
CHLH,CHLH572,Principles of Epidemiology
ENGL,ENGL101,Intro to Poetry
NEUR,NEUR403,Memory and Amnesia
BTW,BTW490,Special Topics Prof Writing
DANC,DANC451,Ind Study and Special Topics
UP,UP570,Neighborhood Analysis
CI,CI504,"Reading Instruction, 6-12"
CS,CS540,Deep Learning Theory
ACE,ACE264,Applied Statistical Methods & Data Analytics 2
RST,RST230,"Diversity in Recreation, Sport, and Tourism"
THEA,THEA391,Individual Topics
SOCW,SOCW480,UG Research Project
ARTF,ARTF101,Contemporary Issues in Art
ART,ART350,Writing with Video
CS,CS473,Algorithms
NPRE,NPRE595,Student Research Seminar
IE,IE521,Convex Optimization
ACE,ACE556,Agr Policy and Political Econ
LLS,LLS410,Writing Latina/o Chicago
AFST,AFST199,Undergraduate Open Seminar
IS,IS532,Theory & Practice of Data Cleaning
SOC,SOC225,Race and Ethnicity
IB,IB487,Math Modeling in Life Sciences
JS,JS502,Holocaust Genocide Studies
MSE,MSE452,Polymer Laboratory
IS,IS509,History and Foundations of Information Science
MUSC,MUSC527,Graduate Level Trombone
KIN,KIN345,Sport and Society
ARCH,ARCH575,Integrative Architecture Design Studio
LAW,LAW635,Securities Litigation
HIST,HIST430,India from Colony to Nation
THEA,THEA497,Audio Engineering I
MILS,MILS201,Leadership and Ethics
CWL,CWL470,Imagining the Welfare State
MUS,MUS147,Supp WW Inst: Oboe
SPED,SPED391,Thesis
EPS,EPS415,Technology & Educational Reform
MUS,MUS355,Creative Dance for Children
PHIL,PHIL231,Religion and Philosophy
PHIL,PHIL511,Seminar Ethical Theory
ATMS,ATMS410,Radar Remote Sensing
GGIS,GGIS465,Transportation &Sustainability
JS,JS212,Israeli Cinema and Television
PERS,PERS199,Undergraduate Open Seminar
CWL,CWL311,Japan Lit in Translation I
ME,ME411,Viscous Flow & Heat Transfer
BADM,BADM311,Leading Individuals and Teams
CWL,CWL111,Bible as Literature
GGIS,GGIS595,Graduate Seminar
CW,CW104,Introductory Narrative Writing
REES,REES116,Intro to Russian Culture
CI,CI509,Curriculum Research
CWL,CWL593,Special Studies
EURO,EURO489,Green Screen: Film and Nature
BTW,BTW263,Writing in the Disciplines
HNDI,HNDI115,Language and Culture in India
ZULU,ZULU404,Intermediate Zulu II
SHS,SHS380,Comm Competence and Disorders
BSE,BSE733,Introduction to Research
ARTH,ARTH230,Italian Renaissance Art
ANTH,ANTH447,Advanced Skeletal Biology
CPSC,CPSC526,Herbicide Action in Plants
SE,SE494,Senior Engineering Project I
GWS,GWS361,Women in East Asia
ME,ME521,Convective Heat Transfer
WLOF,WLOF404,Intermediate Wolof II
GEOL,GEOL411,Structural Geol and Tectonics
ASRM,ASRM450,Methods of Applied Statistics
BADM,BADM312,Designing and Managing Orgs
CEE,CEE470,Structural Analysis
LAW,LAW302,Transitional Justice
ARTH,ARTH212,East Asian Art History
FAA,FAA201,Black Arts Today
GLBL,GLBL572,Global Studies Practicum
MSE,MSE488,Optical Materials
ARTD,ARTD503,Industrial Design III
LING,LING462,Introduction to Romance Linguistics
REL,REL503,Renaissance of the Bible
GLBL,GLBL250,Development
HIST,HIST222,Chinese Thought and Culture
RST,RST465,"Event Implementation and Evaluation in Recreation, Sport and Tourism"
SOC,SOC561,Development Theories
MUS,MUS569,Capstone Project Synthesis
GRK,GRK403,Intermediate Modern Greek I
ARTD,ARTD445,Seminar in Design
ECE,ECE435,Computer Networking Laboratory
CHEM,CHEM599,Thesis Research
ACE,ACE566,Mathematics for Applied Econ
ECE,ECE500,ECE Colloquium
LA,LA314,History of World Landscapes
CB,CB467,Fund Phar Discovery & Dev
ACE,ACE528,Research in Futures Markets
ARTS,ARTS405,Special Topics in Printmaking
IB,IB444,Insect Ecology
CS,CS436,Computer Networking Laboratory
BSE,BSE650,Global Studies/Service Learning Elective
ANSC,ANSC322,Livestock Feeds and Feeding
REL,REL221,American Judaism
CMN,CMN433,Communication and Culture
